Definition,Label
"Your social media profile, bank transactions, blogs or online comments are also a part of this from a fraud perspective",IT_Act_2000_Section_66
woman sexually explicit morphed photos of her on her WhatsApp number after calling her,IT_Act_2000_Section_67
woman sexually explicit morphed photos of her on her WhatsApp,IT_Act_2000_Section_67
woman had posted her photo on a social networking website the accused posted vulgar and defamatory comments,IT_Act_2000_Section_67
"with intent to threaten the unity, integrity, security or sovereignty of India or to strike terror in the people or any section of the people",IT_Act_2000_Section_66
who morphed a minor pictures from her Instagram account onto pornographic content,IT_Act_2000_Section_67
when the woman had posted her photo on a social networking website the accused posted vulgar and defamatory comments on her photo,IT_Act_2000_Section_67
We live in a dangerous world where terrorism gone beyond the Bodily injury,IT_Act_2000_Section_66
"was duped of rupees 1,13,668 by an unidentified caller",IT_Act_2000_Section_66
"was allegedly used for sharing photos of underage girls, objectifying them, and promoting rape culture",IT_Act_2000_Section_67
vulgar scenes,IT_Act_2000_Section_67
video that is grossly offensive or has menacing character,IT_Act_2000_Section_66
"victim provided him the PIN, the fraudster withdrew Rupees 70,000 using the same and realising he had been duped",IT_Act_2000_Section_66
Using vernacular bad words using electronic medium or computer or phone,IT_Act_2000_Section_66
using derogatory language against communities and political figures,IT_Act_2000_Section_66
used to upload several links to her lewd pictures and obscene pictures everyday on various social media platforms,IT_Act_2000_Section_67
"uploading the victims photos, accused had also posted objectionable pictures of his colleague wife and some other women on the app",IT_Act_2000_Section_67
"uploading derogatory remarks, photos, comments on social media",IT_Act_2000_Section_66
uploaded child pornographic content on Facebook,IT_Act_2000_Section_67
uploaded an illicit video of a woman,IT_Act_2000_Section_67
Unsuspecting victims would use infected computers to make online transactions Provisions for cheating,IT_Act_2000_Section_66
unlimited access to pornographic sites should be curbed to avoid adverse influence on the impressionable minds of children,IT_Act_2000_Section_67
"uncontrolled vulgarity, obscenity in such shows and sought a direction to concerned authorities to take appropriate action against all such web service providers",IT_Act_2000_Section_67
Twitter promoting anti national tweets,IT_Act_2000_Section_66
"trends for cyber attacks cannot be used to accurately determine if a terrorist group, or terrorist sponsoring state, has initiated any of them",IT_Act_2000_Section_66
transmitting obscene material in electronic form,IT_Act_2000_Section_67
transmitting obscene content in electronic form,IT_Act_2000_Section_67
"To voo the peoples of Kashmir the terrorists  are also making use of social media platforms like twitter, WhatsApp, Facebook ",IT_Act_2000_Section_66
Three people held guilty in online credit card scam,IT_Act_2000_Section_66
Threatening to expose the ill deeds of somebody over electronic media,IT_Act_2000_Section_66
"This process may involve a combination of computer tampering, virus attacks, hacking",IT_Act_2000_Section_66
"they comment, share, morph photographs, bully or make sexually explicit remarks",IT_Act_2000_Section_67
These devices effectively microwave a circuit board causing temporary or even permanent damage,IT_Act_2000_Section_66
These computers otherwise known as zombies are activated only when needed and are used by the cyber terrorist to collectively attack a selected target server Hacking Exposed,IT_Act_2000_Section_66
